Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
6,Control block 4,6.4,51060,567,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.2097040131668986,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51061,568,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.6896467859060182,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51062,568,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.6160479520108515,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51063,568,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.069947318517376,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51064,568,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.531287658241921,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51065,568,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.014950917632721,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51066,569,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.097612521299738,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51067,569,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.4022640986120081,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51068,569,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.5853788408096778,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51069,569,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.1806566985236184,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51070,569,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.7573321232189207,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51071,570,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.903241999314295,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51072,570,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.465035477488218,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51073,570,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.599783893791102,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51074,570,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.195061751500979,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51075,570,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.121034592755722,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51076,571,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.7125919638951934,prerecorded,open_loop_prerecorded
