tau,neuron,mean,std,max,min,median,total_spikes
0.1,85,0.08543308,0.28057882,9.362658,0.0,0.0,9187.986
0.1,86,0.088563666,0.28541657,7.761841,0.0,0.0,9524.668
0.1,87,0.08912413,0.28053978,6.8729157,0.0,0.0,9584.943
0.1,88,0.082581356,0.26457044,7.5546494,0.0,0.0,8881.295
0.1,89,0.08321449,0.30111474,12.228383,0.0,0.0,8949.386
0.1,90,0.08434021,0.27095392,6.993901,0.0,0.0,9070.452
0.1,91,0.095133945,0.2849321,6.6789083,0.0,0.0,10231.275
0.1,92,0.085593596,0.2615816,3.8248343,0.0,0.0,9205.249
0.1,93,0.085366935,0.26797566,5.3403378,0.0,0.0,9180.872
0.1,94,0.09146682,0.2741901,6.1148734,0.0,0.0,9836.891
0.1,95,0.09421462,0.27879727,5.194436,0.0,0.0,10132.405
0.1,96,0.09661193,0.27162796,3.9926035,0.0,0.0,10390.227
0.1,97,0.09173886,0.27970776,9.722798,0.0,0.0,9866.147
0.1,98,0.09079454,0.29166695,7.7291274,0.0,0.0,9764.59
0.1,99,0.09596654,0.2715857,4.76516,0.0,0.0,10320.817
0.1,100,0.09275849,0.27311793,6.956221,0.0,0.0,9975.805
0.1,101,0.08914522,0.29505458,6.617938,0.0,0.0,9587.212
0.1,102,0.090773284,0.28826588,6.0146933,0.0,0.0,9762.304
0.1,103,0.09337619,0.26248088,6.3768706,0.0,0.0,10042.235
0.1,104,0.0862268,0.28216216,6.555447,0.0,0.0,9273.348
0.1,105,0.095737964,0.26861823,3.8411837,0.0,0.0,10296.235
0.1,106,0.089828074,0.27703306,7.719715,0.0,0.0,9660.65
0.1,107,0.09048404,0.2598402,5.1782427,0.0,0.0,9731.196
0.1,108,0.08853387,0.28304467,8.508809,0.0,0.0,9521.464
0.1,109,0.0882049,0.27826697,9.433338,0.0,0.0,9486.084
0.1,110,0.098872796,0.27029943,3.6379337,0.0,0.0,10633.374
0.1,111,0.09477985,0.26904964,3.7030594,0.0,0.0,10193.193
0.1,112,0.089449406,0.27194026,5.1669054,0.0,0.0,9619.926
0.1,113,0.08457922,0.27033558,5.1475477,0.0,0.0,9096.157
0.1,114,0.087634794,0.2618437,5.229183,0.0,0.0,9424.771
0.1,115,0.08728411,0.26761064,5.770907,0.0,0.0,9387.057
0.1,116,0.08980718,0.27219203,3.7551823,0.0,0.0,9658.403
0.1,117,0.085342795,0.27059057,8.629469,0.0,0.0,9178.276
0.1,118,0.08759877,0.27495766,9.005307,0.0,0.0,9420.897
0.1,119,0.097309306,0.2793035,4.9096527,0.0,0.0,10465.227
0.1,120,0.09071468,0.25849128,4.773745,0.0,0.0,9756.001
0.1,121,0.08546926,0.27868906,9.798926,0.0,0.0,9191.877
0.1,122,0.09017443,0.3038663,11.3939085,0.0,0.0,9697.899
0.1,123,0.08951089,0.2960795,13.810977,0.0,0.0,9626.538
0.1,124,0.08819179,0.2683381,7.76877,0.0,0.0,9484.675
0.1,125,0.08999596,0.2821454,6.974252,0.0,0.0,9678.705
0.1,126,0.08549226,0.2729204,9.05277,0.0,0.0,9194.351
0.1,127,0.08746648,0.2847242,6.464734,0.0,0.0,9406.67
0.1,128,0.08732594,0.27282578,9.658487,0.0,0.0,9391.556
0.1,129,0.08814512,0.26122475,5.561204,0.0,0.0,9479.655
0.1,130,0.08886718,0.2776722,8.163571,0.0,0.0,9557.31
0.1,131,0.08627187,0.26923767,7.46958,0.0,0.0,9278.194
0.1,132,0.1032385,0.28246984,3.472681,0.0,0.0,11102.888
0.1,133,0.0946179,0.27302578,5.1718793,0.0,0.0,10175.777
0.1,134,0.08714883,0.27296817,5.1536236,0.0,0.0,9372.508
0.1,135,0.0871659,0.25909814,4.2205467,0.0,0.0,9374.344
0.1,136,0.08777182,0.25903687,4.8774323,0.0,0.0,9439.508
0.1,137,0.08583731,0.26877257,7.8428373,0.0,0.0,9231.46
0.1,138,0.08785912,0.28090566,9.362735,0.0,0.0,9448.896
0.1,139,0.08999963,0.27274293,6.7294354,0.0,0.0,9679.101
0.1,140,0.09129128,0.27410436,6.6616306,0.0,0.0,9818.012
0.1,141,0.0884127,0.2699368,5.995365,0.0,0.0,9508.433
0.1,142,0.09319981,0.26714307,3.9176264,0.0,0.0,10023.267
0.1,143,0.08720824,0.27092028,5.5208764,0.0,0.0,9378.897
0.1,144,0.087779015,0.26595336,6.604422,0.0,0.0,9440.282
0.1,145,0.08611277,0.25803056,8.304544,0.0,0.0,9261.084
0.1,146,0.08617959,0.25441086,4.633087,0.0,0.0,9268.2705
0.1,147,0.006889334,0.27819028,71.941086,0.0,0.0,740.9203
0.1,148,0.09485649,0.276968,7.1924734,0.0,0.0,10201.437
0.1,149,0.09616232,0.2905737,7.863216,0.0,0.0,10341.873
0.1,150,0.0869304,0.28668544,7.509306,0.0,0.0,9349.017
0.35,0,0.027784994,0.1146704,2.4539208,0.0,0.0,2988.165
0.35,1,0.03156997,0.11531409,1.8339199,0.0,0.0,3395.2239
0.35,2,0.029980097,0.108792394,1.962052,0.0,0.0,3224.2395
